Energy[keV],Fluence_rate [cm^-2s^-1]
100.6,11.609
100.8,10.548
101,9.9532
101.2,9.2569
101.4,8.4289
101.6,7.0779
101.8,7.7239
102,8.6094
102.2,6.6496
102.4,8.6853
102.6,9.8511
102.8,7.765
103,6.876
103.2,7.276
103.4,7.7802
103.6,6.8458
103.8,6.3118
104,6.6109
104.2,6.7058
104.4,7.3394
104.6,5.712
104.8,5.9034
105,5.3187
105.2,5.6435
105.4,4.9836
105.6,5.552
105.8,5.1492
106,5.7828
106.2,5.6837
106.4,5.2239
106.6,5.3019
106.8,4.7618
107,6.0091
107.2,4.9072
107.4,5.7628
107.6,5.1407
107.8,4.948
108,4.1943
108.2,5.019
108.4,3.972
108.6,4.4404
108.8,3.5853
109,3.1135
109.2,3.0088
109.4,3.2348
109.6,3.261
109.8,3.0784
110,1.9123
110.2,3.4428
110.4,3.1962
110.6,2.6533
110.8,2.8448
111,3.5522
111.2,2.3365
111.4,1.8254
111.6,2.3069
111.8,1.6056
112,2.6581
112.2,2.0669
112.4,2.041
112.6,1.9533
112.8,1.8655
113,1.8395
113.2,1.4642
113.4,1.5228
113.6,1.8116
113.8,1.6744
114,0.87821
114.2,0.91609
114.4,1.2192
114.6,0.77389
114.8,0.23867
115,0.7448
115.2,1.1955
115.4,1.0835
115.6,0.9806
115.8,1.0347
116,1.1376
116.2,0.90055
116.4,0.93371
116.6,0.89937
116.8,0.76397
117,0.72169
117.2,1.2145
117.4,0.427
117.6,1.0057
117.8,1.1769
118,0.81521
118.2,0.9451
118.4,1.1359
118.6,0.41612
118.8,0.76298
119,0.42799
119.2,0.74377
119.4,0.71213
119.6,0.68374
119.8,0.42916
120,0.45701
120.2,0.8664
120.4,0.94366
120.6,1.1907
120.8,1.2115
121,0.34925
121.2,0.96119
121.4,0.71317
121.6,0.553
121.8,1.0603
122,0.79838
122.2,0.6699
122.4,0.62789
122.6,0.35531
122.8,0.5151
123,0.43438
123.2,0.51723
123.4,1.1211
123.6,0.3207
123.8,0.27703
124,0.4845
124.2,0.23668
124.4,0.27125
124.6,0.34673
124.8,0.65725
125,0.34743
125.2,0.43054
125.4,0.7001
125.6,0.83226
125.8,1.0634
126,0.28842
126.2,0.78777
126.4,0.64473
126.6,1.0233
126.8,0.96216
127,0.49324
127.2,0.48917
127.4,0.63754
127.6,0.61418
127.8,0.3705
128,0.52047
128.2,1.1558
128.4,1.0414
128.6,0.97338
128.8,0.64094
129,0.62914
129.2,0.84441
129.4,1.0635
129.6,0.042437
129.8,0.96833
130,0.57572
130.2,0.81065
130.4,0.69402
130.6,0.47967
130.8,0.38039
131,0.51425
131.2,0.96755
131.4,1.3431
131.6,1.0518
131.8,1.3876
132,0.70102
132.2,0.56494
132.4,0.54838
132.6,1.0542
132.8,0.16023
133,0.60603
133.2,0.50268
133.4,1.0609
133.6,0.54718
133.8,0.39077
134,0.24862
134.2,0.18257
134.4,0.98842
134.6,0.7308
134.8,0.7713
135,0.6335
135.2,0.86255
135.4,0.46427
135.6,0.6512
135.8,0.2877
136,0.74999
136.2,3.90E-06
136.4,0.34009
136.6,0.25318
136.8,0.65309
137,0.90669
137.2,0.79631
137.4,0.45991
137.6,0.91263
137.8,0.46065
138,0.48582
138.2,0.80711
138.4,0.66894
138.6,0.49242
138.8,0.38283
139,0.94362
139.2,0.52166
139.4,0.46593
139.6,0.46716
139.8,0.52362
140,0.898
140.2,1.1977
140.4,0.82247
140.6,0.87783
140.8,0.41197
141,0.2274
141.2,0.47309
141.4,0.93082
141.6,0.67422
141.8,0.27839
142,0.50748
142.2,0.17477
142.4,0.62833
142.6,0.96963
142.8,1.106
143,1.009
143.2,0.48108
143.4,0.33693
143.6,0.42644
143.8,0.37717
144,0.47203
144.2,0.010359
144.4,0.32971
144.6,0.63368
144.8,0.14377
145,0.67824
145.2,0.29314
145.4,1.0027
145.6,0.97417
145.8,1.0173
146,0.59621
146.2,0.48388
146.4,0.34839
146.6,0.86143
146.8,1.3441
147,0.20419
147.2,0.62331
147.4,0.26258
147.6,0.80696
147.8,0.16183
148,0.23533
148.2,0.60353
148.4,0.15493
148.6,0.071818
148.8,0.7564
149,1.1147
149.2,0.97765
149.4,0.43808
149.6,0.42119
149.8,0.63829
150,0.29627
150.2,0.083509
150.4,0.54215
150.6,0.70898
150.8,0.088086
151,0.12513
151.2,0.33724
151.4,0.6831
151.6,0.30256
151.8,0.3032
152,0.30428
152.2,0.46842
152.4,0.67613
152.6,0.64071
152.8,0.68473
153,0.16861
153.2,0.44312
153.4,0.27635
153.6,0.59454
153.8,0.095089
154,0.82721
154.2,0.42342
154.4,0.47847
154.6,0.46768
154.8,0.31569
155,0.40102
155.2,1.0277
155.4,0.34072
155.6,0.1018
155.8,0.19724
156,0.62692
156.2,0.38279
156.4,0.5333
156.6,0.87291
156.8,0.47547
157,0.32554
157.2,0.031129
157.4,0.29702
